moa,name
hypoxia inducible factor inhibitor,BAY-87-2243
"FGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",orantinib
ALK tyrosine kinase receptor inhibitor,CEP-37440
"antitumor agent, ribonucleotide reductase inhibitor",LY2334737
dihydroorotate dehydrogenase inhibitor,SC-12267
p38 MAPK inhibitor,TAK-715
p38 MAPK inhibitor,VX-702
glutathione transferase inhibitor,buthionine-sulfoximine
serotonin receptor antagonist,lerisetron
protein synthesis inhibitor,anguidine
acetylcholine receptor antagonist,iododexetimide
mTOR inhibitor,AZD2014
purine antagonist,tioguanine
protein synthesis inhibitor,emetine
protein synthesis inhibitor,harringtonine
sodium channel activator,DPI-201106
matrix metalloprotease inhibitor,ilomastat
HSP inhibitor,BIIB021
"BCL inhibitor, MCL1 inhibitor",gossypol
MDM inhibitor,AMG-232
cholesteryl ester transfer protein inhibitor,evacetrapib
EGFR inhibitor,canertinib
WEE1 kinase inhibitor,MK-1775
antiprotozoal agent,broxyquinoline
EGFR inhibitor,ARRY-334543
histone lysine methyltransferase inhibitor,tazemetostat
endothelin receptor antagonist,FR-139317
norepinephrine reuptake inhibitor,nisoxetine
tubulin polymerization inhibitor,ABT-751
tubulin polymerization inhibitor,indibulin
CC chemokine receptor antagonist,PF-04136309
caspase inhibitor,VX-765
CHK inhibitor,SCH-900776
"cyclooxygenase inhibitor, PPAR receptor agonist",pterostilbene
"CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor",BMS-387032
,cinromide
glucose dependent insulinotropic receptor agonist,GSK1292263
EGFR inhibitor,BIBX-1382
oxidative stress inducer,elesclomol
"angiogenesis inhibitor, tumor necrosis factor production inhibitor",roquinimex
,ecamsule-triethanolamine
vitamin D receptor agonist,doxercalciferol
"chelating agent, topoisomerase inhibitor",dexrazoxane
thymidylate synthase inhibitor,carmofur
dipeptidyl peptidase inhibitor,alogliptin
calcium channel activator,cinacalcet
anti-pneumocystis agent,pentamidine
folate receptor ligand,leucovorin
mTOR inhibitor,everolimus
GABA benzodiazepine site receptor agonist,oxazepam
sterol demethylase inhibitor,terconazole
monoamine oxidase inhibitor,eprobemide
glucocorticoid receptor agonist,prednisolone-acetate
dopamine receptor antagonist,acetophenazine
angiotensin receptor antagonist,candesartan
carbonic anhydrase inhibitor,sulfanilamide
antiinfective drug,parachlorophenol
dopamine receptor antagonist,piperacetazine
,sodium-glucoheptonate
thiazide diuretic,quinethazone
monoamine oxidase inhibitor,phenelzine
hydantoin antiepileptic,mephenytoin
,levocarnitine
guanylate cyclase stimulant,riociguat
RAF inhibitor,dabrafenib
glutamate inhibitor,riluzole
ALK tyrosine kinase receptor inhibitor,alectinib
cytochrome P450 inhibitor,itraconazole
prostaglandin inhibitor,fenoprofen
bacterial cell wall synthesis inhibitor,nafcillin
histamine receptor antagonist,famotidine
"cyclooxygenase inhibitor, prostanoid receptor antagonist",phenylbutazone
"bone resorption inhibitor, osteoclast inhibitor",tiludronate
microtubule inhibitor,colchicine
DNA inhibitor,busulfan
androgen biosynthesis inhibitor,abiraterone-acetate
glucocorticoid receptor agonist,ciclesonide
phosphodiesterase inhibitor,papaverine
"RNA synthesis inhibitor, topoisomerase inhibitor",daunorubicin
membrane integrity inhibitor,chlorhexidine
topoisomerase inhibitor,amsacrine
CDK inhibitor,palbociclib
HCV inhibitor,daclatasvir
PPAR receptor agonist,ciprofibrate
topoisomerase inhibitor,idarubicin
,creatine
,thiram
monoamine oxidase inhibitor,iproniazid
adrenergic receptor agonist,buphenine
glucocorticoid receptor agonist,prednisolone
bacterial permeability inducer,colistin-b-sulfate
sodium channel blocker,ajmaline
chelating agent,oxyquinoline
bacterial cell wall synthesis inhibitor,cefpiramide
glucocorticoid receptor agonist,methylprednisolone
"adrenergic receptor agonist, neurotransmitter",epinephrine
glutamate receptor antagonist,tiletamine
histamine receptor antagonist,terfenadine
EGFR inhibitor,afatinib
acetylcholine receptor agonist,pilocarpine
JAK inhibitor,ruxolitinib
topoisomerase inhibitor,mitoxantrone
bacterial 30S ribosomal subunit inhibitor,minocycline
electron acceptor,nadide
protein synthesis inhibitor,clofoctol
adrenergic receptor antagonist,propranolol
glucocorticoid receptor agonist,beclomethasone-dipropionate
tubulin polymerization inhibitor,fenbendazole
opioid receptor antagonist,naloxone
cyclooxygenase inhibitor,sulfasalazine
"estrogen receptor agonist, estrogenic hormone",ethinyl-estradiol
cyclooxygenase inhibitor,aspirin
local anesthetic,propoxycaine
CCK receptor agonist,pentagastrin
progestogen hormone,noretynodrel
glucocorticoid receptor agonist,betamethasone
benzodiazepine receptor agonist,piperazine
cyclooxygenase inhibitor,ramifenazone
constitutive androstane receptor (CAR) agonist,meclizine
cyclooxygenase inhibitor,phenazone
PPAR receptor agonist,clofibrate
dopamine receptor antagonist,remoxipride
HIV integrase inhibitor,dolutegravir
EGFR inhibitor,gefitinib
"Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor, tyrosine kinase inhibitor",dasatinib
DNA synthesis inhibitor,altretamine
DNA alkylating agent,streptozotocin
bacterial DNA gyrase inhibitor,nadifloxacin
local anesthetic,hexylresorcinol
sodium channel blocker,benzethonium
antineoplastic agent,iobenguane
HMGCR inhibitor,lovastatin
membrane integrity inhibitor,octenidine
adrenergic receptor agonist,isoxsuprine
,pyritinol
osmosis stimulant,lacitol
glucocorticoid receptor agonist,dexamethasone-acetate
androgen receptor antagonist,enzalutamide
"glucocorticoid receptor agonist, immunosuppressant",triamcinolone-acetonide
solute carrier family member inhibitor,bumetanide
DNA polymerase inhibitor,famciclovir
glucocorticoid receptor agonist,fluticasone-propionate
progesterone receptor agonist,nomegestrol-acetate
NFkB pathway inhibitor,tyloxapol
adenosine receptor antagonist,istradefylline
nematocide,selamectin
"NAD precursor, vitamin B",niacin
RAF inhibitor,vemurafenib
GABA uptake inhibitor,tiagabine
PI3K inhibitor,idelalisib
DNA polymerase inhibitor,adefovir-dipivoxil
carbonic anhydrase inhibitor,dorzolamide
cyclooxygenase inhibitor,naproxen
histamine receptor antagonist,chloropyramine
ATPase inhibitor,omeprazole
vitamin D receptor agonist,paricalcitol
glutamate receptor agonist,D-Serine
DNA methyltransferase inhibitor,decitabine
androgen receptor antagonist,cyproterone-acetate
"dehydrogenase inhibitor, inositol monophosphatase inhibitor",mycophenolate-mofetil
progesterone receptor antagonist,ulipristal
sodium channel blocker,benzocaine
ATPase inhibitor,digitoxin
DNA alkylating agent,cyclophosphamide
dihydrofolate reductase inhibitor,methotrexate
protein synthesis inhibitor,chloramphenicol-palmitate
,fluoromethylcholine
anti-inflammatory agent,prednisolone-tebutate
sterol demethylase inhibitor,lanoconazole
,proscillaridin-a
cholinergic receptor agonist,carbachol
dopamine receptor antagonist,thioproperazine
aromatase inhibitor,exemestane
glucocorticoid receptor agonist,hydrocortisone
"dehydrogenase inhibitor, inositol monophosphatase inhibitor",mycophenolic-acid
dopamine reuptake inhibitor,BTS-54505
adrenergic receptor antagonist,naftidrofuryl
HMGCR inhibitor,pitavastatin
TRPV agonist,capsaicin
platelet aggregation inhibitor,etofylline-clofibrate
,isometheptene-mucate
adrenergic receptor antagonist,practolol
dopamine receptor antagonist,clebopride
steroid,clocortolone-pivalate
topoisomerase inhibitor,epirubicin
"estrogen receptor antagonist, selective estrogen receptor modulator (SERM)",raloxifene
melanin inhibitor,monobenzone
tubulin polymerization inhibitor,mebendazole
DNA alkylating agent,dacarbazine
muscle relaxant,methocarbamol
sterol demethylase inhibitor,ketoconazole
"adenosine deaminase inhibitor, ribonucleotide reductase inhibitor",cladribine
bacterial permeability inducer,monensin
histamine receptor antagonist,ranitidine
"ATPase inhibitor, gastrin inhibitor",rabeprazole
adrenergic receptor agonist,lidamidine
progesterone receptor agonist,norethindrone
"serotonin receptor agonist, serotonin receptor antagonist",aripiprazole
leukotriene synthesis inhibitor,ubenimex
"estrogen receptor agonist, glucocorticoid receptor antagonist, progesterone receptor agonist, progesterone receptor antagonist",levonorgestrel
MEK inhibitor,PD-98059
Aurora kinase inhibitor,hesperadin
glutamate receptor positive allosteric modulator,IDRA-21
glutamate receptor antagonist,ACDPP
aspartic protease inhibitor,pepstatin
glutamate receptor antagonist,SIB-1757
HSP inducer,homosalate
TGF beta receptor inhibitor,SB-525334
"HCV inhibitor, XIAP inhibitor",embelin
calcium channel blocker,SKF-96365
ATPase inhibitor,ouabain
antioxidant,taurine
aromatase inhibitor,anastrozole
adrenergic receptor agonist,isoetharine
"FOXM1 inhibitor, protein synthesis inhibitor",thiostrepton
phosphodiesterase inhibitor,GSK256066
"bacterial 30S ribosomal subunit inhibitor, bacterial 50S ribosomal subunit inhibitor",radezolid
HIV integrase inhibitor,BMS-707035
CDK inhibitor,AT-7519
"Aurora kinase inhibitor, JAK inhibitor",AT-9283
CDK inhibitor,R547
HDAC inhibitor,tacedinaline
thyroid hormone receptor agonist,sobetirome
casein kinase inhibitor,CX-4945
VEGFR inhibitor,semaxanib
inosine monophosphate dehydrogenase inhibitor,AVN-944
p38 MAPK inhibitor,SB-242235
adenylyl cyclase activator,forskolin
EGFR inhibitor,AST-1306
DNA methyltransferase inhibitor,fdcyd
cathepsin inhibitor,odanacatib
"nuclear factor erythroid derived, like (NRF2) activator",bardoxolone
MDM inhibitor,serdemetan
tryptophan hydroxylase inhibitor,telotristat-ethyl
EGFR inhibitor,CUDC-101
HDAC inhibitor,resminostat
tyrosine kinase inhibitor,hypericin
gamma glutamyltransferase Inhibitors,acivicin
AKT inhibitor,MK-2206
,cyt387
adenosine receptor antagonist,MRS-1220
"adenosine receptor agonist, cAMP stimulant",bucladesine
histamine receptor antagonist,zolantidine
"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist",AM-404
GABA receptor antagonist,CGP-54626
AKT inhibitor,AT7867
,SCS
antitussive,clobutinol
local anesthetic,dimethisoquin
,nitarsone
bacterial DNA gyrase inhibitor,lomefloxacin
benzodiazepine receptor agonist,eprinomectin
focal adhesion kinase inhibitor,defactinib
PLK inhibitor,NMS-1286937
protein tyrosine kinase inhibitor,mubritinib
MEK inhibitor,refametinib
,cromakalim
DNA inhibitor,sangivamycin
IKK inhibitor,hypoestoxide
"mTOR inhibitor, PI3K inhibitor",GDC-0980
renin inhibitor,VTP-27999
phosphofructokinase inhibitor,PFK-015
androgen receptor antagonist,RU-58841
,fexinidazole
,KP-1212
PI3K inhibitor,alpelisib
adrenergic receptor antagonist,imiloxan
smoothened receptor antagonist,sonidegib
glutamate receptor antagonist,latrepirdine
PARP inhibitor,3-amino-benzamide
"microtubule stabilizing agent, tubulin polymerization inhibitor",epothilone-d
VEGFR inhibitor,golvatinib
Bruton's tyrosine kinase (BTK) inhibitor,AVL-292
HDAC inhibitor,mocetinostat
ATPase inhibitor,k-strophanthidin
HDAC inhibitor,JNJ-26481585
Aurora kinase inhibitor,MLN-8054
"mTOR inhibitor, PI3K inhibitor",NVP-BEZ235
mTOR inhibitor,MLN0128
BCL inhibitor,obatoclax
"EGFR inhibitor, protein tyrosine kinase inhibitor",BMS-599626
Aurora kinase inhibitor,PF-03814735
HCV inhibitor,narlaprevir
rho associated kinase inhibitor,Y-39983
PLK inhibitor,volasertib
CDK inhibitor,AZD5438
ALK tyrosine kinase receptor inhibitor,AP26113
"CDK inhibitor, growth factor receptor inhibitor",PHA-848125
chelating agent,picolinic-acid
XIAP inhibitor,GDC-0152
BCL inhibitor,navitoclax
PKC activator,12-O-tetradecanoylphorbol-13-acetate
retinoid receptor agonist,adarotene
HSP inhibitor,XL888
"Aurora kinase inhibitor, FLT3 inhibitor, VEGFR inhibitor",ENMD-2076
Pim kinase inhibitor,SGI-1776
HDAC inhibitor,RG2833
"mTOR inhibitor, PI3K inhibitor",PF-04691502
Aurora kinase inhibitor,CYC116
opioid receptor agonist,ADL5859
HCV inhibitor,mericitabine
"src inhibitor, tubulin polymerization inhibitor",KX2-391
Aurora kinase inhibitor,SNS-314
Aurora kinase inhibitor,barasertib-HQPA
elastase inhibitor,AZD9668
"kinesin inhibitor, kinesin-like spindle protein inhibitor",filanesib
mTOR inhibitor,AZD8055
CHK inhibitor,PF-477736
hypoxia inducible factor prolyl hydroxylase inhibitor,FG-4592
"FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor",tandutinib
cardiac glycoside,peruvoside
AKT inhibitor,GSK2110183
topoisomerase inhibitor,voreloxin
AP inhibitor,tanshinone-i
PPAR receptor agonist,GW-501516
nitric oxide synthase inhibitor,asymmetrical-dimethylarginine
"KIT inhibitor, VEGFR inhibitor",OSI-930
"nuclear factor erythroid derived, like (NRF2) activator",bardoxolone-methyl
topoisomerase inhibitor,exatecan-mesylate
Aurora kinase inhibitor,barasertib
nedd activating enzyme inhibitor,pevonedistat
"microtubule stabilizing agent, tubulin polymerization inhibitor",epothilone-b
HSP antagonist,AT13387
"benzodiazepine receptor agonist, GABA benzodiazepine site receptor partial agonist",CGS-20625
benzodiazepine receptor antagonist,ZK-93426
HDAC inhibitor,entinostat
c-Met inhibitor,PF-04217903
tyrosinase inhibitor,rucinol
PLK inhibitor,HMN-214
proteasome inhibitor,delanzomib
"EGFR inhibitor, protein tyrosine kinase inhibitor",CP-724714
farnesyltransferase inhibitor,lonafarnib
FLT3 inhibitor,quizartinib
dopamine receptor antagonist,isofloxythepin
XIAP inhibitor,birinapant
AKT inhibitor,AZD5363
FGFR inhibitor,AZD4547
DNA inhibitor,teroxirone
p21 activated kinase inhibitor,PF-03758309
RAF inhibitor,LGX818
"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",linifanib
MAP kinase inhibitor,BVD-523
IGF-1 inhibitor,BMS-754807
"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",vatalanib
cannabinoid receptor agonist,GW-842166
ACAT inhibitor,KD-023
rho associated kinase inhibitor,KD025
MEK inhibitor,TAK-733
STAT inhibitor,WP1066
HDAC inhibitor,SB-939
Aurora kinase inhibitor,MK-5108
survivin inhibitor,YM-155
calmodulin antagonist,zaldaride
JAK inhibitor,LY2784544
niacinamide phosphoribosyltransferase inhibitor,FK-866
CDK inhibitor,alvocidib
AKT inhibitor,uprosertib
PDGFR tyrosine kinase receptor inhibitor,crenolanib
matrix metalloprotease inhibitor,marimastat
"glycine transporter inhibitor, GlyT-1 inhibitor",bitopertin
vitamin K antagonist,warfarin
collagenase inhibitor,halofuginone
,brilliant-green
acetylcholinesterase inhibitor,chlorpyrifos
adrenergic receptor antagonist,carvedilol
estrogen receptor agonist,estradiol
beta lactamase inhibitor,7-aminocephalosporanic-acid
ATPase inhibitor,digoxin
thyrotropin releasing hormone receptor agonist,taltirelin
mineralocorticoid receptor antagonist,spironolactone
potassium channel blocker,ibutilide
adrenergic receptor antagonist,dronedarone
T-type calcium channel blocker,mibefradil
beta glucuronidase inhibitor,baicalin
bacterial DNA gyrase inhibitor,trovafloxacin
prostanoid receptor antagonist,ramatroban
thymidylate synthase inhibitor,5-fluorouracil
adenosine receptor antagonist,theophylline
glucocorticoid receptor agonist,fluorometholone
progesterone receptor agonist,norethindrone-acetate
acetylcholine receptor agonist,nicotine
"mitochondrial DNA polymerase inhibitor, phosphatase inhibitor",menadione
enkephalinase inhibitor,racecadotril
"electrolyte reabsorption inhibitor, thromboxane receptor antagonist",torasemide
ATP channel blocker,chlorpropamide
radiopaque medium,iodipamide
sodium channel blocker,butamben
adrenergic receptor agonist,terbutaline
acetylcholine receptor antagonist,dicycloverine
cholinergic receptor antagonist,butylscopolamine-bromide
ribonucleotide reductase inhibitor,fludarabine
ATPase inhibitor,thonzonium
dopamine receptor antagonist,amisulpride
bacterial DNA gyrase inhibitor,sarafloxacin
antiprotozoal agent,diclazuril
purine antagonist,thioguanine
phosphodiesterase inhibitor,anagrelide
adrenergic receptor antagonist,levobunolol
bacterial 50S ribosomal subunit inhibitor,azithromycin
adrenergic receptor antagonist,atenolol-(+/-)
cysteine peptidase inhibitor,loxistatin-acid
opioid receptor agonist,trimebutine
cyclooxygenase inhibitor,ketoprofen
vitamin D receptor agonist,calcitriol
adrenergic receptor agonist,clenbuterol
"norepinephrine reputake inhibitor, tricyclic antidepressant",maprotiline
opioid receptor modulator,sufentanil
protein synthesis inhibitor,homoharringtonine
adrenergic receptor antagonist,pindolol
MTH1 inhibitor,crizotinib-(S)
acetylcholine receptor antagonist,methscopolamine
"FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",sorafenib
dopamine receptor antagonist,nemonapride
prostanoid receptor agonist,latanoprost
progesterone receptor agonist,norgestrel
"EGFR inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",vandetanib
sodium/potassium/chloride transporter inhibitor,bendroflumethiazide
endothelin receptor antagonist,bosentan
adrenergic receptor agonist,midodrine
microsomal trigylceride transfer protein inhibitor,lomitapide
antioxidant,benfotiamine
tubulin polymerization inhibitor,albendazole
antioxidant,trolox
"hedgehog pathway inhibitor, smoothened receptor antagonist",vismodegib
antispasmodic,chromocarb
laxative,bisacodyl
"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",axitinib
,salinomycin
protein synthesis inhibitor,florfenicol
serotonin receptor antagonist,tropisetron
HDAC inhibitor,panobinostat
angiotensin converting enzyme inhibitor,imidapril
anthelmintic agent,bephenium-hydroxynaphthoate
"FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",sunitinib
glucocorticoid receptor agonist,deflazacort
glucocorticoid receptor agonist,fludroxycortide
DNA alkylating agent,ifosfamide
"DNA alkylating agent, DNA synthesis inhibitor",mitomycin-c
mucus protecting agent,teprenone
phosphodiesterase inhibitor,avanafil
glutamate receptor antagonist,diazooxonorleucine
other antibiotic,thiomersal
PDGFR tyrosine kinase receptor inhibitor,trapidil
AKT inhibitor,triciribine
"dopamine receptor antagonist, serotonin receptor antagonist",paliperidone
topoisomerase inhibitor,SN-38
RNA polymerase inhibitor,rifampin
aromatase inhibitor,formestane
"DNA replication inhibitor, STAT inhibitor",niclosamide
anticancer agent,lenalidomide
histamine receptor antagonist,lafutidine
anti-inflammatory agent,betamethasone-dipropionate
DNA methyltransferase inhibitor,azacitidine
DNA inhibitor,bendamustine
glucocorticoid receptor agonist,piretanide
adrenergic receptor agonist,oxymetazoline
radical formation stimulant,temoporfin
matrix metalloprotease inhibitor,batimastat
histamine receptor antagonist,levocetirizine
glutamate receptor antagonist,felbamate
benzodiazepine receptor agonist,ivermectin
EGFR inhibitor,lapatinib
HSP inhibitor,guanidine
bacterial cell wall synthesis inhibitor,cefditoren-pivoxil
cytochrome P450 inhibitor,cobicistat
PARP inhibitor,talazoparib
HDAC inhibitor,ACY-1215
acetylcholine release enhancer,bifemelane
mTOR inhibitor,temsirolimus
syk inhibitor,PRT062607
angiogenesis inhibitor,tranilast
"estrogen receptor antagonist, selective estrogen receptor modulator (SERM)",toremifene
acetylcholine receptor antagonist,diphemanil
calcium channel modulator,cyclovirobuxin-d
bacterial DNA gyrase inhibitor,norfloxacin
benzodiazepine receptor agonist,zaleplon
ALK tyrosine kinase receptor inhibitor,crizotinib
adrenergic receptor agonist,norepinephrine
choleretic agent,genipin
